From	Entry	Transmembrane	Transit peptide	Gene Ontology (cellular component)
Q10235	Q10235			cytoplasm [GO:0005737]; cytosol [GO:0005829]; microtubule plus-end [GO:0035371]; nucleus [GO:0005634]
O74315	O74315			cytoplasm [GO:0005737]; nuclear periphery [GO:0034399]; nuclear pore [GO:0005643]; nucleus [GO:0005634]
Q8VE42	Q8VE42			cytosol [GO:0005829]; nucleus [GO:0005634]
Q8H1U5	Q8H1U5			anaphase-promoting complex [GO:0005680]; nucleus [GO:0005634]; spindle [GO:0005819]
O60306	O60306			catalytic step 2 spliceosome [GO:0071013]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; U2-type catalytic step 2 spliceosome [GO:0071007]
O75179	O75179			chromatin [GO:0000785]; cytoplasm [GO:0005737]; male germ cell nucleus [GO:0001673]; membrane [GO:0016020]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q91WK7	Q91WK7			cytoplasm [GO:0005737]; midbody [GO:0030496]; nucleus [GO:0005634]
Q66PJ3	Q66PJ3			nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleus [GO:0005634]
Q9P7B8	Q9P7B8			ARC complex [GO:0033167]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
O15085	O15085			cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]
Q9SGD6	Q9SGD6		"TRANSIT 1..44; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; cytoplasm [GO:0005737]
Q86WX3	Q86WX3			cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]
O96018	O96018			cytoplasm [GO:0005737]; dendritic spine [GO:0043197]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
Q9QXJ1	Q9QXJ1			cytoplasm [GO:0005737]; dendritic spine [GO:0043197]; endoplasmic reticulum [GO:0005783]; glutamatergic synapse [GO:0098978]; growth cone [GO:0030426]; growth cone filopodium [GO:1990812]; growth cone lamellipodium [GO:1990761]; lamellipodium [GO:0030027]; main axon [GO:0044304]; neuromuscular junction [GO:0031594]; neuronal cell body [GO:0043025]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; presynapse [GO:0098793]; presynaptic membrane [GO:0042734]; protein-containing complex [GO:0032991]; Schaffer collateral - CA1 synapse [GO:0098685]; synapse [GO:0045202]
Q9CPV2	Q9CPV2			anaphase-promoting complex [GO:0005680]; cytosol [GO:0005829]; kinetochore [GO:0000776]
P53886	P53886			anaphase-promoting complex [GO:0005680]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; spindle pole [GO:0000922]
O15033	O15033			cytoplasm [GO:0005737]; cytosol [GO:0005829]
Q9M8M7	Q9M8M7		"TRANSIT 1..41; /note=""Chloroplast and mitochondrion""; /evidence=""ECO:0000269|PubMed:18431481, ECO:0007744|PubMed:22223895"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; mitochondrion [GO:0005739]
O94346	O94346			mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q9NWB6	Q9NWB6			cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]
P04842	P04842			peroxisomal matrix [GO:0005782]
Q94K49	Q94K49			ESC/E(Z) complex [GO:0035098]; nucleus [GO:0005634]; PRC1 complex [GO:0035102]
O95704	O95704			actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]
Q84JF0	Q84JF0		"TRANSIT 1..75; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; cytosol [GO:0005829]; plastid [GO:0009536]
Q8N9V6	Q8N9V6			cytoplasm [GO:0005737]; spindle [GO:0005819]; spindle pole [GO:0000922]
Q7Z6G8	Q7Z6G8			anchoring junction [GO:0070161]; Cajal body [GO:0015030]; centrosome [GO:0005813]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]
Q8RX79	Q8RX79		"TRANSIT 1..50; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]
Q6Z6S1	Q6Z6S1			nucleus [GO:0005634]
O60039	O60039			cytoplasm [GO:0005737]; microtubule organizing center [GO:0005815]
Q42592	Q42592		"TRANSIT 1..91; /note=""Chloroplast and mitochondrion""; /evidence=""ECO:0000269|PubMed:25732537"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; cytosol [GO:0005829]; mitochondrion [GO:0005739]
Q8R5G7	Q8R5G7			cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; lamellipodium [GO:0030027]; plasma membrane [GO:0005886]; ruffle [GO:0001726]
P40024	P40024			cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q8NFD5	Q8NFD5			bBAF complex [GO:0140092]; brahma complex [GO:0035060]; chromatin [GO:0000785]; cytosol [GO:0005829]; nBAF complex [GO:0071565]; npBAF complex [GO:0071564]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; SWI/SNF complex [GO:0016514]
Q5T2S8	Q5T2S8			axoneme [GO:0005930]; ciliary base [GO:0097546]
Q9Y705	Q9Y705			cell division site [GO:0032153]; cytosol [GO:0005829]; equatorial microtubule organizing center [GO:0000923]; gamma-tubulin complex [GO:0000930]; half bridge of mitotic spindle pole body [GO:0061496]; inner plaque of mitotic spindle pole body [GO:0061497]; interphase microtubule organizing center [GO:0031021]; meiotic spindle pole body [GO:0035974]; microtubule [GO:0005874]; mitotic spindle pole body [GO:0044732]; nucleus [GO:0005634]; old mitotic spindle pole body [GO:0071957]; spindle pole [GO:0000922]
P55345	P55345			cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P25054	P25054			adherens junction [GO:0005912]; beta-catenin destruction complex [GO:0030877]; bicellular tight junction [GO:0005923]; catenin complex [GO:0016342]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; kinetochore [GO:0000776]; lamellipodium [GO:0030027]; lateral plasma membrane [GO:0016328]; microtubule [GO:0005874]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]; Wnt signalosome [GO:1990909]
Q64364	Q64364			cytoplasm [GO:0005737]; granular component [GO:0001652]; mitochondrion [GO:0005739]; nuclear body [GO:0016604]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; senescence-associated heterochromatin focus [GO:0035985]
Q8N3C0	Q8N3C0			activating signal cointegrator 1 complex [GO:0099053]; cytosol [GO:0005829]; DNA repair complex [GO:1990391]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9SI61	Q9SI61		"TRANSIT 1..58; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast stroma [GO:0009570]; cytoplasm [GO:0005737]; plant-type cell wall [GO:0009505]; plastid [GO:0009536]; plastid stroma [GO:0009532]
Q9STG9	Q9STG9		"TRANSIT 1..53; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; cytoplasm [GO:0005737]; plastid stroma [GO:0009532]
Q5A5Q6	Q5A5Q6			nucleus [GO:0005634]
Q9V727	Q9V727			chromatin [GO:0000785]; nucleus [GO:0005634]; PR-DUB complex [GO:0035517]
Q9D5T0	Q9D5T0	"TRANSMEM 16..32; /note=""Helical""; /evidence=""ECO:0000255"""		anchoring junction [GO:0070161]; glutamatergic synapse [GO:0098978]; integral component of membrane [GO:0016021]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; peroxisomal membrane [GO:0005778]; postsynapse [GO:0098794]; postsynaptic membrane [GO:0045211]
Q6AT90	Q6AT90			nucleus [GO:0005634]
Q8TER5	Q8TER5			cytosol [GO:0005829]; plasma membrane [GO:0005886]
O08697	O08697			centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; lateral plasma membrane [GO:0016328]; microtubule cytoskeleton [GO:0015630]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
O22241	O22241		"TRANSIT 1..34; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; cytoplasm [GO:0005737]
P40518	P40518			actin cortical patch [GO:0030479]; actin cytoskeleton [GO:0015629]; Arp2/3 protein complex [GO:0005885]; cytoplasm [GO:0005737]; extrinsic component of mitochondrial outer membrane [GO:0031315]
Q91YI4	Q91YI4			basolateral plasma membrane [GO:0016323]; clathrin-coated pit [GO:0005905]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; endocytic vesicle [GO:0030139]; endosome [GO:0005768]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]
Q94545	Q94545			MLL1/2 complex [GO:0044665]; MLL3/4 complex [GO:0044666]; nucleus [GO:0005634]; polytene chromosome [GO:0005700]; polytene chromosome puff [GO:0005703]; Set1C/COMPASS complex [GO:0048188]
Q9NR48	Q9NR48			bicellular tight junction [GO:0005923]; chromosome [GO:0005694]; Golgi apparatus [GO:0005794]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q8IZT6	Q8IZT6			apical plasma membrane [GO:0016324]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; meiotic spindle [GO:0072687]; microtubule minus-end [GO:0036449]; midbody [GO:0030496]; mitotic spindle pole [GO:0097431]; nucleus [GO:0005634]
Q9XZS8	Q9XZS8			nucleus [GO:0005634]
P34379	P34379			Atg1/ULK1 kinase complex [GO:1990316]; autophagosome [GO:0005776]; axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extrinsic component of membrane [GO:0019898]; perikaryon [GO:0043204]; phagophore assembly site [GO:0000407]; serine/threonine protein kinase complex [GO:1902554]
Q9P373	Q9P373			cytosol [GO:0005829]; nucleus [GO:0005634]; phagophore assembly site [GO:0000407]
Q9BSB4	Q9BSB4			Atg1/ULK1 kinase complex [GO:1990316]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; phagophore assembly site [GO:0000407]
O43313	O43313			nuclear body [GO:0016604]; nucleus [GO:0005634]
P54258	P54258			anchoring junction [GO:0070161]; cell leading edge [GO:0031252]; cytoplasm [GO:0005737]; nuclear matrix [GO:0016363]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]
P46672	P46672			cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; methionyl glutamyl tRNA synthetase complex [GO:0017102]
Q9ZUR7	Q9ZUR7		"TRANSIT 1..35; /note=""Chloroplast""; /evidence=""ECO:0007744|PubMed:22223895"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; cytosol [GO:0005829]
Q6ZSZ5	Q6ZSZ5			apical part of cell [GO:0045177]; apical plasma membrane [GO:0016324]; cell junction [GO:0030054]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; plasma membrane [GO:0005886]
O14497	O14497			bBAF complex [GO:0140092]; brahma complex [GO:0035060]; chromatin [GO:0000785]; nBAF complex [GO:0071565]; npBAF complex [GO:0071564]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; SWI/SNF complex [GO:0016514]
Q94981	Q94981			cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]
Q9Y4X5	Q9Y4X5			Cajal body [GO:0015030]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Lewy body [GO:0097413]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]
O59790	O59790			chromosome passenger complex [GO:0032133]; chromosome, centromeric region [GO:0000775]; chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; inner kinetochore [GO:0000939]; kinetochore [GO:0000776]; meiotic spindle [GO:0072687]; meiotic spindle midzone [GO:1990385]; mitotic spindle midzone [GO:1990023]; nucleolar ring [GO:0140602]; spindle microtubule [GO:0005876]; spindle midzone [GO:0051233]
P45890	P45890			chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; nucleus [GO:0005634]; Swr1 complex [GO:0000812]
Q9FKT0	Q9FKT0			cytoplasm [GO:0005737]; dynactin complex [GO:0005869]; nucleolus [GO:0005730]; nucleus [GO:0005634]
Q9H981	Q9H981			centrosome [GO:0005813]; Ino80 complex [GO:0031011]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q06834	Q06834			cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q8N726	Q8N726			cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]
Q92888	Q92888			cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]
Q9CWR0	Q9CWR0			cytoplasm [GO:0005737]; extrinsic component of membrane [GO:0019898]; myofibril [GO:0030016]; plasma membrane [GO:0005886]; sarcomere [GO:0030017]
O60054	O60054			cell division site [GO:0032153]; cytosol [GO:0005829]; dynactin complex [GO:0005869]; mitotic spindle pole body [GO:0044732]; nucleus [GO:0005634]
Q9VEX5	Q9VEX5			cytoplasm [GO:0005737]; integrator complex [GO:0032039]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]
P0DMR3	P0DMR3			cytoplasm [GO:0005737]
O49196	O49196		"TRANSIT 1..59; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; plastid [GO:0009536]
Q9JM54	Q9JM54			Bcl-2 family protein complex [GO:0097136]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
Q9D385	Q9D385			centrosome [GO:0005813]; cilium [GO:0005929]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; midbody [GO:0030496]; mitochondrial intermembrane space [GO:0005758]; nucleoplasm [GO:0005654]
P21146	P21146			anchoring junction [GO:0070161]; cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; presynapse [GO:0098793]
Q96C12	Q96C12			cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleoplasm [GO:0005654]
Q9SSE7	Q9SSE7		"TRANSIT 1..66; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; cytoplasm [GO:0005737]; stromule [GO:0010319]
P61158	P61158			actin cytoskeleton [GO:0015629]; Arp2/3 protein complex [GO:0005885]; brush border [GO:0005903]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; lamellipodium [GO:0030027]; membrane [GO:0016020]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]
Q9UT55	Q9UT55			cytosol [GO:0005829]; nucleus [GO:0005634]
Q949T8	Q949T8			chromatin [GO:0000785]; nucleus [GO:0005634]
P48361	P48361			cytoplasm [GO:0005737]
Q6EPG8	Q6EPG8			cytoplasm [GO:0005737]
O14061	O14061			mitochondrion [GO:0005739]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]
P59998	P59998			Arp2/3 protein complex [GO:0005885]; cell projection [GO:0042995]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]
P18634	P18634			cytoplasm [GO:0005737]; cytosol [GO:0005829]
Q8VI04	Q8VI04			cytoplasm [GO:0005737]; photoreceptor inner segment [GO:0001917]
P18824	P18824			adherens junction [GO:0005912]; apical plasma membrane [GO:0016324]; axon [GO:0030424]; beta-catenin-TCF complex [GO:1990907]; catenin complex [GO:0016342]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endocytic vesicle [GO:0030139]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; rhabdomere [GO:0016028]; zonula adherens [GO:0005915]
Q9H9F9	Q9H9F9			cytoplasm [GO:0005737]; Ino80 complex [GO:0031011]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
O15511	O15511			actin cytoskeleton [GO:0015629]; Arp2/3 protein complex [GO:0005885]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; focal adhesion [GO:0005925]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; nucleus [GO:0005634]; secretory granule lumen [GO:0034774]; site of double-strand break [GO:0035861]
Q8WXI3	Q8WXI3			cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P34233	P34233			cellular bud [GO:0005933]; nucleus [GO:0005634]; Rpd3L complex [GO:0033698]; Rpd3L-Expanded complex [GO:0070210]
Q96KQ4	Q96KQ4			cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P01096	P01096		"TRANSIT 1..25; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:6461003"""	cell surface [GO:0009986]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrion [GO:0005739]; protein-containing complex [GO:0032991]
Q9SA96	Q9SA96		"TRANSIT 1..48; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; cytoplasm [GO:0005737]
Q05123	Q05123			chromatin [GO:0000785]; nucleus [GO:0005634]; RSC-type complex [GO:0016586]; SWI/SNF complex [GO:0016514]
P85970	P85970			actin filament branch point [GO:0061834]; apical dendrite [GO:0097440]; Arp2/3 protein complex [GO:0005885]; axon terminus [GO:0043679]; cell leading edge [GO:0031252]; cell surface [GO:0009986]; concave side of sperm head [GO:0061830]; cytoplasm [GO:0005737]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; endosome [GO:0005768]; filamentous actin [GO:0031941]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; muscle cell projection membrane [GO:0036195]; nucleus [GO:0005634]; perikaryon [GO:0043204]; peripheral region of growth cone [GO:0090725]; plasma membrane [GO:0005886]; podosome core [GO:0061825]; podosome ring [GO:0061826]; ruffle membrane [GO:0032587]; secretory granule [GO:0030141]; site of double-strand break [GO:0035861]; synapse [GO:0045202]; ventral surface of cell [GO:0061835]
Q9SYG2	Q9SYG2			nucleolus [GO:0005730]; nucleus [GO:0005634]
P22768	P22768			cytoplasm [GO:0005737]; cytosol [GO:0005829]
Q8VD46	Q8VD46			cytoplasm [GO:0005737]; cytosol [GO:0005829]; pi-body [GO:0071546]
P22135	P22135		"TRANSIT 1..?32; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]
P53722	P53722			extrinsic component of mitochondrial inner membrane [GO:0031314]; mitochondrial intermembrane space [GO:0005758]
Q96253	Q96253			mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1) [GO:0000275]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
P07251	P07251		"TRANSIT 1..35; /note=""Mitochondrion"""	cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial nucleoid [GO:0042645]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase, catalytic core [GO:0005754]; mitochondrion [GO:0005739]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]
P83483	P83483		"TRANSIT 1..51; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:11743114"""	mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1) [GO:0000275]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]
Q9FNE9	Q9FNE9			nucleus [GO:0005634]
Q9H7T9	Q9H7T9			centrosome [GO:0005813]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; site of DNA damage [GO:0090734]; spindle pole [GO:0000922]
D7UQM5	D7UQM5			centrosome [GO:0005813]; chromosome, centromeric region [GO:0000775]; cytoplasm [GO:0005737]; midbody [GO:0030496]; nucleus [GO:0005634]; spindle [GO:0005819]
Q9SFB3	Q9SFB3		"TRANSIT 1..64; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]
Q6PL18	Q6PL18			extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9ULI0	Q9ULI0			nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9Z2A5	Q9Z2A5			cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q9US24	Q9US24			Atg12-Atg5-Atg16 complex [GO:0034274]; cytosol [GO:0005829]; nucleus [GO:0005634]; phagophore assembly site membrane [GO:0034045]
Q9USM8	Q9USM8			cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome [GO:0005768]; endosome membrane [GO:0010008]; phagophore assembly site [GO:0000407]; phagophore assembly site membrane [GO:0034045]
Q13315	Q13315			centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; DNA repair complex [GO:1990391]; intracellular membrane-bounded organelle [GO:0043231]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; peroxisomal matrix [GO:0005782]; spindle [GO:0005819]
Q9SSS9	Q9SSS9		"TRANSIT 1..47; /note=""Chloroplast""; /evidence=""ECO:0007744|PubMed:22223895"""	chloroplast [GO:0009507]; chloroplast envelope [GO:0009941]; chloroplast thylakoid [GO:0009534]; chloroplast thylakoid membrane [GO:0009535]; cytosol [GO:0005829]; plastoglobule [GO:0010287]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; stromule [GO:0010319]; thylakoid [GO:0009579]
Q9P6R6	Q9P6R6		"TRANSIT 1..28; /note=""Mitochondrion""; /evidence=""ECO:0000250"""	mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1) [GO:0000275]; mitochondrial proton-transporting ATP synthase, central stalk [GO:0005756]; mitochondrion [GO:0005739]
P12113	P12113		"TRANSIT 1..35; /note=""Chloroplast""; /evidence=""ECO:0000269|PubMed:8543042"""	chloroplast thylakoid membrane [GO:0009535]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]
P0C7T6	P0C7T6			dendrite [GO:0030425]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P54253	P54253			cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear inclusion body [GO:0042405]; nuclear matrix [GO:0016363]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q8WWM7	Q8WWM7			cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; membrane [GO:0016020]; nuclear speck [GO:0016607]
O76922	O76922			catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; P granule [GO:0043186]; precatalytic spliceosome [GO:0071011]
O14965	O14965			axon hillock [GO:0043203]; centriole [GO:0005814]; centrosome [GO:0005813]; chromosome passenger complex [GO:0032133]; ciliary basal body [GO:0036064]; cytosol [GO:0005829]; germinal vesicle [GO:0042585]; meiotic spindle [GO:0072687]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; mitotic spindle pole [GO:0097431]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; pronucleus [GO:0045120]; spindle [GO:0005819]; spindle midzone [GO:0051233]; spindle pole centrosome [GO:0031616]
Q5SQI0	Q5SQI0			axon [GO:0030424]; clathrin-coated pit [GO:0005905]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; microtubule [GO:0005874]; microtubule bundle [GO:0097427]; mitotic spindle [GO:0072686]
Q86WG3	Q86WG3			anchoring junction [GO:0070161]; axon [GO:0030424]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; growth cone [GO:0030426]; mitochondrial membrane [GO:0031966]; neuron projection [GO:0043005]; presynapse [GO:0098793]; synapse [GO:0045202]
Q54WX4	Q54WX4			centrosome [GO:0005813]; chromosome passenger complex [GO:0032133]; chromosome, centromeric region [GO:0000775]; cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; neuron projection [GO:0043005]; spindle microtubule [GO:0005876]; spindle midzone [GO:0051233]; spindle pole [GO:0000922]; spindle pole centrosome [GO:0031616]
Q8VHV1	Q8VHV1			anchoring junction [GO:0070161]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane raft [GO:0045121]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; postsynaptic density [GO:0014069]; sarcoplasm [GO:0016528]
Q9VQF7	Q9VQF7			nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P25853	P25853			secretory vesicle [GO:0099503]
Q8VZ20	Q8VZ20			nucleus [GO:0005634]
Q9ES19	Q9ES19			ATF1-ATF4 transcription factor complex [GO:1990590]; ATF4-CREB1 transcription factor complex [GO:1990589]; centrosome [GO:0005813]; CHOP-ATF4 complex [GO:1990617]; cytoplasm [GO:0005737]; dendrite membrane [GO:0032590]; Lewy body core [GO:1990037]; neuron projection [GO:0043005]; nuclear periphery [GO:0034399]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; RNA polymerase II transcription regulator complex [GO:0090575]; transcription regulator complex [GO:0005667]
Q09726	Q09726		"TRANSIT 1..28; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	matrix side of mitochondrial inner membrane [GO:0099617]; mitochondrion [GO:0005739]
P46561	P46561		"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	cilium [GO:0005929]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrion [GO:0005739]; non-motile cilium [GO:0097730]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]
P78753	P78753			cytosol [GO:0005829]; nucleus [GO:0005634]
P59598	P59598			nucleus [GO:0005634]; PR-DUB complex [GO:0035517]
Q0WR66	Q0WR66			chromosome [GO:0005694]; nucleolus [GO:0005730]
Q5T9A4	Q5T9A4			ficolin-1-rich granule membrane [GO:0101003]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]
Q9Y751	Q9Y751			phagophore assembly site membrane [GO:0034045]
